epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5933,1.94452,10.6717,1.75264,0.00044,0.125,0.00027,6e-05,2.05997,14.9413,2.18508,0.00012,0.00012,0.00012
2,16.1657,1.82312,9.24168,1.6797,0.3933,0.375,0.31077,0.14107,1.46149,12.951,1.46614,0.000254852,0.000254852,0.000254852
3,19.1606,1.53125,3.77948,1.29957,0.74888,0.46603,0.51308,0.2251,1.68295,11.0376,1.54731,0.00038416,0.00038416,0.00038416
4,22.1765,1.60069,2.48998,1.32211,0.56635,0.34697,0.38945,0.20116,1.84869,20.4181,1.59398,0.000507924,0.000507924,0.000507924
5,25.1713,1.58612,1.67344,1.30462,0.65463,0.48438,0.52788,0.23542,1.80741,12.1273,1.57097,0.000626144,0.000626144,0.000626144
6,28.0832,1.63151,1.42887,1.34685,0.04479,0.32812,0.02587,0.01268,1.87087,9.34139,1.70201,0.00073882,0.00073882,0.00073882
7,30.9218,1.62232,1.36,1.395,0.00043,0.09375,0.00022,9e-05,3.61059,inf,56.4288,0.000845952,0.000845952,0.000845952
8,33.7752,1.62702,1.28261,1.38089,0.00045,0.09375,0.00025,0.00012,3.89223,inf,55.2959,0.00094754,0.00094754,0.00094754
9,36.5432,1.59578,1.42145,1.38674,0.00056,0.15625,0.00032,0.00011,3.82016,159.099,12.3386,0.00104358,0.00104358,0.00104358
10,39.5506,1.5561,1.37792,1.33077,0.00087,0.0625,0.00038,9e-05,3.75976,inf,6.89965,0.00113408,0.00113408,0.00113408
11,42.4062,1.55138,1.23391,1.34976,0.00011,0.01562,3e-05,1e-05,3.95994,inf,8.1699,0.00121904,0.00121904,0.00121904
12,45.177,1.52009,1.17226,1.3126,0.00382,0.03125,0.00131,0.00042,3.13072,36.9457,3.01685,0.00129845,0.00129845,0.00129845
13,47.9993,1.54393,1.13746,1.31912,0.00188,0.15625,0.00091,0.00032,3.34355,48.2941,3.08586,0.00137232,0.00137232,0.00137232
14,50.8393,1.48025,1.06718,1.30604,0.00366,0.10938,0.00169,0.00063,2.73453,36.8661,2.68744,0.00144064,0.00144064,0.00144064
15,53.6395,1.61676,1.14391,1.39231,0.0021,0.25,0.00125,0.00038,2.72172,145.594,2.81315,0.0014456,0.0014456,0.0014456
16,56.4314,1.50694,1.09588,1.338,0.03969,0.3125,0.02322,0.0104,1.9769,20.7125,1.82549,0.001406,0.001406,0.001406
17,59.2376,1.46612,1.04707,1.29401,0.20735,0.10938,0.05122,0.019,2.49633,6.29776,2.2977,0.0013664,0.0013664,0.0013664
18,62.0324,1.4403,1.0339,1.26141,0.43245,0.25002,0.20946,0.09363,1.9569,2.69799,1.67561,0.0013268,0.0013268,0.0013268
19,65.0736,1.47491,1.04217,1.25615,0.0965,0.26562,0.04474,0.01948,1.94787,7.03053,1.68991,0.0012872,0.0012872,0.0012872
20,67.8252,1.40756,1.00983,1.28371,0.0732,0.3125,0.03385,0.01395,2.0481,5.60417,1.90809,0.0012476,0.0012476,0.0012476
21,70.6019,1.42678,1.0385,1.2716,0.36729,0.25,0.22055,0.09635,2.08371,3.06558,1.81028,0.001208,0.001208,0.001208
22,73.3808,1.38936,0.9916,1.24458,0.27368,0.54688,0.31502,0.15848,1.93122,5.73707,1.7669,0.0011684,0.0011684,0.0011684
23,76.0999,1.45984,1.02667,1.27841,0.54998,0.42188,0.47869,0.23959,1.83004,7.16315,1.70283,0.0011288,0.0011288,0.0011288
24,78.8293,1.37773,0.92046,1.27585,0.74231,0.48438,0.56579,0.28249,1.69264,2.27577,1.52895,0.0010892,0.0010892,0.0010892
25,81.5955,1.34469,0.88543,1.22156,0.67784,0.49322,0.59827,0.30043,1.6672,2.42131,1.57878,0.0010496,0.0010496,0.0010496
26,84.3701,1.38847,0.89761,1.26891,0.7707,0.63028,0.70281,0.39004,1.62318,1.70715,1.49153,0.00101,0.00101,0.00101
27,87.1417,1.42144,0.92204,1.24764,0.70115,0.69659,0.649,0.34464,1.6637,2.40162,1.44011,0.0009704,0.0009704,0.0009704
28,89.8926,1.3221,0.88516,1.21294,0.68227,0.70312,0.6814,0.39112,1.60607,1.87692,1.4153,0.0009308,0.0009308,0.0009308
29,92.6598,1.30821,0.84004,1.19332,0.83883,0.65063,0.69186,0.3662,1.69174,1.92201,1.50429,0.0008912,0.0008912,0.0008912
30,95.4029,1.27367,0.81416,1.19375,0.80346,0.51107,0.60544,0.30229,1.82887,1.40243,1.58518,0.0008516,0.0008516,0.0008516
31,98.1466,1.29189,0.81689,1.20612,0.67592,0.6875,0.71692,0.36202,1.83958,1.19457,1.58593,0.000812,0.000812,0.000812
32,100.924,1.2323,0.77908,1.17269,0.78332,0.64062,0.73931,0.39299,1.69751,1.04101,1.5021,0.0007724,0.0007724,0.0007724
33,103.714,1.24309,0.76993,1.17522,0.72088,0.76675,0.75757,0.43165,1.59937,0.95438,1.44702,0.0007328,0.0007328,0.0007328
34,106.496,1.21002,0.76646,1.14091,0.8832,0.625,0.78327,0.46684,1.5025,1.03893,1.33665,0.0006932,0.0006932,0.0006932
35,109.255,1.17727,0.74719,1.13667,0.82139,0.71854,0.82519,0.45197,1.58013,0.96894,1.38048,0.0006536,0.0006536,0.0006536
36,112.015,1.14404,0.6956,1.13235,0.76994,0.73213,0.79999,0.41159,1.59435,1.04061,1.36972,0.000614,0.000614,0.000614
37,114.794,1.16101,0.69358,1.12669,0.84458,0.73438,0.82127,0.43599,1.60847,1.02007,1.37997,0.0005744,0.0005744,0.0005744
38,117.559,1.20231,0.72446,1.15778,0.89606,0.65625,0.80079,0.4466,1.56911,1.05453,1.37801,0.0005348,0.0005348,0.0005348
39,120.263,1.11708,0.66178,1.09624,0.9349,0.70312,0.83759,0.47274,1.51953,0.9783,1.35255,0.0004952,0.0004952,0.0004952
40,123.11,1.09938,0.67538,1.12225,0.90553,0.76562,0.84235,0.48946,1.55441,0.95234,1.3635,0.0004556,0.0004556,0.0004556
41,129.569,1.13053,0.66489,1.12751,0.92466,0.73438,0.82518,0.475,1.51541,1.02203,1.36497,0.000416,0.000416,0.000416
42,132.31,1.0969,0.62851,1.10257,0.9294,0.6875,0.83033,0.46792,1.54051,0.90628,1.39026,0.0003764,0.0003764,0.0003764
43,135.068,1.03286,0.63874,1.07824,0.85189,0.71875,0.82759,0.46761,1.51482,0.89942,1.34754,0.0003368,0.0003368,0.0003368
44,137.788,1.02896,0.63352,1.08155,0.90383,0.75,0.82549,0.45205,1.6372,0.93591,1.38401,0.0002972,0.0002972,0.0002972
45,140.549,0.99334,0.5985,1.06188,0.91143,0.73438,0.83097,0.44713,1.64279,0.96225,1.38698,0.0002576,0.0002576,0.0002576
46,143.337,1.04199,0.62495,1.09696,0.78105,0.84375,0.84819,0.47488,1.56839,0.93784,1.36564,0.000218,0.000218,0.000218
47,146.084,0.94642,0.57667,1.04407,0.86645,0.81102,0.86626,0.50178,1.54156,0.86418,1.3458,0.0001784,0.0001784,0.0001784
48,148.896,0.96807,0.55249,1.04683,0.89879,0.82812,0.89025,0.50714,1.53858,0.81104,1.33675,0.0001388,0.0001388,0.0001388
49,151.619,0.93563,0.55711,1.03887,0.90448,0.82812,0.89315,0.50552,1.53629,0.80219,1.33619,9.92e-05,9.92e-05,9.92e-05
50,154.38,0.92153,0.57184,1.00994,0.915,0.84102,0.89594,0.50357,1.53646,0.80981,1.33002,5.96e-05,5.96e-05,5.96e-05
